component,explained_variance_ratio,cumulative_explained_variance,n_obs,n_variables,status,usage
PC1,0.7327017048647875,0.7327017048647875,52,21,OK,PCA_DIAGNOSTIC_ONLY
PC2,0.2039908632165577,0.9366925680813452,52,21,OK,PCA_DIAGNOSTIC_ONLY
PC3,0.06330734235992343,0.9999999104412686,52,21,OK,PCA_DIAGNOSTIC_ONLY
