Scenario,Mean_Return,Median_Return,Min_Return,Max_Return,Std_Return,Equity_Mean,Sovereign_Mean,Corporate_Bond_Mean,Mean_expected_return,Median_expected_return,Min_expected_return,Max_expected_return,Number_of_assets,Number_clipped_low,Number_clipped_high,Portfolio_expected_return_current_weights,Usage,Methodological_Comment
prudent,0.07532100199862693,0.0926173437152848,-0.03903142554214571,0.12705853182258703,0.044698320852276714,0.0474205765323284,0.08332866687579552,0.09821663691669509,0.07532100199862693,0.0926173437152848,-0.03903142554214571,0.12705853182258703,21,0,1,0.09123149091541252,DIAGNOSTIC_ONLY,Résumé conservé pour diagnostic factoriel ; les rendements officiels sont les tables hybrides ex ante.
central,0.1134938995967632,0.11106783699316494,0.05379699696924636,0.16097856338985228,0.021472324779816036,0.12418677577961719,0.10052480900519774,0.11090670503363764,0.1134938995967632,0.11106783699316494,0.05379699696924636,0.16097856338985228,21,0,0,0.10682570287532464,DIAGNOSTIC_ONLY,Résumé conservé pour diagnostic factoriel ; les rendements officiels sont les tables hybrides ex ante.
optimistic,0.1319580652794243,0.11923568550592453,0.06487277688902038,0.21492696987786866,0.03770377042077909,0.16306670191765146,0.10323199046864254,0.11880322539793566,0.1319580652794243,0.11923568550592453,0.06487277688902038,0.21492696987786866,21,0,0,0.11609913518674135,DIAGNOSTIC_ONLY,Résumé conservé pour diagnostic factoriel ; les rendements officiels sont les tables hybrides ex ante.
