asset_class,total_weight,ExAnte_Prudent,ExAnte_Central,ExAnte_Optimistic,Historical_Raw_Comparative,n_assets
Actions cotées,0.12178199295011494,0.10728588145616894,0.1341115577637762,0.16093386931653145,0.7197107305997,8
Obligations corporate,0.5308623850603251,0.08597431347978642,0.10746789184973303,0.12896147021967963,0.11479754853739106,8
Titres de l'État,0.34735562198956005,0.07787533350082987,0.09734416687603734,0.11681300025124478,0.1126280036746161,5
