Asset,asset_name,Asset_Class,ExAnte_Prudent,ExAnte_Central,ExAnte_Optimistic,Historical_Raw_Comparative,APT_Prudent,APT_Central,APT_Optimistic,mu_apt_raw,mu_apt_prudent,mu_apt_central,mu_apt_optimistic,mu_DCF_BuildingBlocks,mu_Factor,mu_Historical_Shrunk,w_DCF,w_Factor,w_Hist,mu_historical_raw,mu_historical_geometric,Jensen_Gap_Arithmetic_vs_Geometric,mu_expected_reference,bound_saturated,quality_flags
BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,0.07811457279885903,0.09764321599857378,0.11717185919828854,0.11123479745281706,0.07811457279885903,0.09764321599857378,0.11717185919828854,0.10097408999354494,0.07811457279885903,0.09764321599857378,0.11717185919828854,0.0940350758060686,0.10097408999354494,0.11577633902694437,0.8,0.05,0.15,0.11123479745281706,0.11758162388308535,-0.006346826430268293,0.09764321599857378,NONE,EXPECTED_RETURN_CAPPED
BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,0.07792242164061358,0.09740302705076698,0.11688363246092037,0.1084258523796766,0.07792242164061358,0.09740302705076698,0.11688363246092037,0.10010101798748564,0.07792242164061358,0.09740302705076698,0.11688363246092037,0.0940350758060686,0.10010101798748564,0.11446610337691876,0.8,0.05,0.15,0.1084258523796766,0.11446610337691876,-0.006040250997242161,0.09740302705076698,NONE,OK
EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,0.07745809449008322,0.09682261811260402,0.11618714173512483,0.098382627341878,0.07745809449008322,0.09682261811260402,0.11618714173512483,0.09939746825390167,0.07745809449008322,0.09682261811260402,0.11618714173512483,0.0940350758060686,0.09939746825390167,0.11083122703369375,0.8,0.05,0.15,0.098382627341878,0.10335414872599946,-0.004971521384121463,0.09682261811260402,NONE,EXPECTED_RETURN_CAPPED
EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,0.07785373862255676,0.09731717327819595,0.11678060793383513,0.10707281085825296,0.07785373862255676,0.09731717327819595,0.11678060793383513,0.10064361714568416,0.07785373862255676,0.09731717327819595,0.11678060793383513,0.0940350758060686,0.10064361714568416,0.1137128785070457,0.8,0.05,0.15,0.10707281085825296,0.11295965363717264,-0.005886842778919682,0.09731717327819595,NONE,OK
EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,0.07809136883638174,0.09761421104547717,0.1171370532545726,0.11012387304836023,0.07809136883638174,0.09761421104547717,0.1171370532545726,0.10150785164537225,0.07809136883638174,0.09761421104547717,0.1171370532545726,0.0940350758060686,0.10150785164537225,0.11540505212235785,0.8,0.05,0.15,0.11012387304836023,0.11634400086779695,-0.006220127819436719,0.09761421104547717,NONE,OK
TN0007310568,E.O HL 2020-03,Obligations corporate,0.08424099879512778,0.10530124849390972,0.12636149819269166,0.09795025250101456,0.08424099879512778,0.10530124849390972,0.12636149819269166,0.10989571244394034,0.08424099879512778,0.10530124849390972,0.12636149819269166,0.1039350758060686,0.10989571244394034,0.10820763922985871,0.7,0.05,0.25,0.09795025250101456,0.10287740998679573,-0.004927157485781167,0.10530124849390972,NONE,MODEL_LIMITATION_PD_LGD_NOT_MODELED
TN0003100872,EO BNA SUB 2021-1,Obligations corporate,0.08412364224867387,0.10515455281084234,0.12618546337301081,0.09668321759014835,0.08412364224867387,0.10515455281084234,0.12618546337301081,0.10802040545159462,0.08412364224867387,0.10515455281084234,0.12618546337301081,0.1039350758060686,0.10802040545159462,0.10799591789605831,0.7,0.05,0.25,0.09668321759014835,0.10146593442812635,-0.004782716837977999,0.10515455281084234,NONE,EXPECTED_RETURN_CAPPED;MODEL_LIMITATION_PD_LGD_NOT_MODELED
TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,0.08538781386094665,0.10673476732618332,0.12808172079142,0.10749796097328937,0.08538781386094665,0.10673476732618332,0.12808172079142,0.11213639564685672,0.08538781386094665,0.10673476732618332,0.12808172079142,0.1039350758060686,0.11213639564685672,0.11349357791836984,0.7,0.05,0.25,0.10749796097328937,0.11344928736381799,-0.005951326390528616,0.10673476732618332,NONE,MODEL_LIMITATION_PD_LGD_NOT_MODELED
TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,0.08511114939135588,0.10638893673919485,0.12766672408703383,0.10539766334394708,0.08511114939135588,0.10638893673919485,0.12766672408703383,0.11106783699316494,0.08511114939135588,0.10638893673919485,0.12766672408703383,0.1039350758060686,0.11106783699316494,0.11232396730115429,0.7,0.05,0.25,0.10539766334394708,0.1111100661293869,-0.005712402785439816,0.10638893673919485,NONE,MODEL_LIMITATION_PD_LGD_NOT_MODELED
TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,0.08549938634321455,0.1068742329290182,0.12824907951482184,0.1087592492842806,0.08549938634321455,0.1068742329290182,0.12824907951482184,0.11143268598612198,0.08549938634321455,0.1068742329290182,0.12824907951482184,0.1039350758060686,0.11143268598612198,0.11419218226185629,0.7,0.05,0.25,0.1087592492842806,0.11484649605079089,-0.00608724676651029,0.1068742329290182,NONE,MODEL_LIMITATION_PD_LGD_NOT_MODELED
