portfolio_name,asset_name,asset_class,issuer,weight,asset_class_label
Risk_Parity,"BTA 7,5% 12/2028",Titres de l'État,BTA_7_5_12_2028,0.07543892572138297,Titres de l'État
MeanVariance_TurnoverPenalty,"BTA 7,5% 12/2028",Titres de l'État,BTA_7_5_12_2028,0.06829597422039141,Titres de l'État
MultiCriteria_Recommended_Portfolio,"BTA 7,5% 12/2028",Titres de l'État,BTA_7_5_12_2028,0.06829597573256771,Titres de l'État
Current_Portfolio,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.049683755619931644,Titres de l'État
Minimum_Variance,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.04982506312774231,Titres de l'État
Mean_Variance_lambda_2,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.049683741152396925,Titres de l'État
Mean_Variance_lambda_5,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.04968375538401371,Titres de l'État
Mean_Variance_lambda_10,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.049683760782531075,Titres de l'État
Mean_Variance_lambda_20,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.0496837590707177,Titres de l'État
Max_Sharpe,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.049683756274724336,Titres de l'État
Max_Return,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.049683749405772935,Titres de l'État
Mean_CVaR_95,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.049683757398890575,Titres de l'État
Risk_Parity,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.07979761745874227,Titres de l'État
MeanVariance_TurnoverPenalty,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.04968375563649993,Titres de l'État
