portfolio_name,constraint_id,constraint_name,origin,exposure_value,threshold_value,margin_value,margin_pct,status,severity,implementation_status,comment
Mean_Variance_lambda_5,OTHER_SECURITIES_LIMITS,Autres valeurs mobilières,UNTESTED_MISSING_DATA,,,-0.0,-0.0,NOT_TESTED_DATA_MISSING,WARNING,CHECK_NOT_ENFORCED_MISSING_DATA,Contrainte non testée faute de données détaillées ; elle n’est pas assimilée à une conformité.
Mean_Variance_lambda_5,INTERNAL_NO_SHORT_SELLING,Absence de vente à découvert,INTERNAL_GOVERNANCE,8.29197920750339e-11,0.0,8.29197920750339e-11,,OK,INFO,INTERNAL_LIMIT,Contrôle interne appliqué à la poche optimisable.
Mean_Variance_lambda_5,INTERNAL_FULL_INVESTMENT,Somme des poids optimisables égale à 100%,INTERNAL_GOVERNANCE,1.0,1.0,1.0,,OK,INFO,INTERNAL_LIMIT,Contrôle interne appliqué à la poche optimisable.
Mean_Variance_lambda_5,INTERNAL_TURNOVER_MAX_30,Turnover maximum de gouvernance,INTERNAL_GOVERNANCE,0.29999999335089617,0.3,6.649103823086477e-09,,OK,INFO,INTERNAL_LIMIT,"Limite interne de réallocation, non réglementaire."
Mean_Variance_lambda_5,INTERNAL_MAX_ASSET_WEIGHT,Poids maximum par actif,INTERNAL_GOVERNANCE,0.30000000001921323,0.3,-1.9213242108406803e-11,,OK,INFO,INTERNAL_LIMIT,"Limite interne de concentration, non réglementaire."
Mean_Variance_lambda_10,COVERAGE_GLOBAL,Couverture globale des provisions techniques,LEGAL_REGULATORY,509032582.0402451,261164044.33557004,247868537.70467508,0.9490913587866959,OK,INFO,ENFORCED,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_10,STATE_MIN_20_PT,Titres émis ou garantis par l'État >= 20% PT,LEGAL_REGULATORY,114927791.00258675,52232808.86711401,62694982.135472745,0.2400597765859219,OK,INFO,ENFORCED,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_10,REAL_ESTATE_TOTAL_MAX_20_PT,Immobilier total <= 20% PT,LEGAL_REGULATORY,25860875.370495003,52232808.86711401,26371933.496619005,0.10097842359468776,OK,INFO,POST_CHECK,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_10,SICAR_TOTAL_MAX_10_PT,SICAR/SICAF total <= 10% PT,LEGAL_REGULATORY,5215648.67154,26116404.433557004,20900755.762017004,0.08002922383588759,OK,INFO,POST_CHECK,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_10,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::AMEN_BANK,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::AMEN_BANK,LEGAL_REGULATORY,7042479.423565878,26116404.433557004,19073925.009991124,0.07303426878120715,OK,INFO,,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_10,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::ATTIJARI_BANK,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::ATTIJARI_BANK,LEGAL_REGULATORY,5382844.519445748,26116404.433557004,20733559.914111257,0.07938902909418372,OK,INFO,,Contrainte testable contrôlée sur le portefeuille total.
Mean_Variance_lambda_10,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::BIAT,LISTED_EQUITY_PER_COMPANY_MAX_10_PT::BIAT,LEGAL_REGULATORY,7614621.03848074,26116404.433557004,18501783.395076264,0.07084353224099753,OK,INFO,,Contrainte testable contrôlée sur le portefeuille total.
