asset_id,asset_name,asset_class,asset_type,issuer,current_weight_optimisable,portfolio_name,current_weight,optimized_weight,weight_change,optimized_value,quality_flag
TN0007310568,E.O HL 2020-03,Obligations corporate,corporate_bond,TN0007310568,0.0099706592583008,Minimum_Variance,0.0099706592583008,0.05736902467597536,0.04739836541767456,18981396.664690673,OK
TN0003100872,EO BNA SUB 2021-1,Obligations corporate,corporate_bond,TN0003100872,0.0190339210105056,Minimum_Variance,0.0190339210105056,0.1097354423141644,0.0907015213036588,36307606.24753506,OK
TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,corporate_bond,TNHFN9X6ARP3,0.0286634369917476,Minimum_Variance,0.0286634369917476,0.040393848112612964,0.011730411120865362,13364906.553132677,OK
TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,corporate_bond,TN8DSPQCBC06,0.0084347887863857,Minimum_Variance,0.0084347887863857,0.00843557982856497,7.910421792704792e-07,2791037.2840922414,OK
TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,corporate_bond,TNL7VQZVHR54,0.4167675090979856,Minimum_Variance,0.4167675090979856,0.2999999915257558,-0.1167675175722298,99259467.46901703,OK
TNYGOCQ2WZX6,EO BH LEASING 2023-1,Obligations corporate,corporate_bond,TNYGOCQ2WZX6,0.0097829647118884,Minimum_Variance,0.0097829647118884,0.00978506270132461,2.097989436209563e-06,3237533.8010669136,OK
TNDE9EH7SA12,EO AB SUB 2023-2,Obligations corporate,corporate_bond,TNDE9EH7SA12,0.0061743504717015,Minimum_Variance,0.0061743504717015,0.006174673434706306,3.229630048057555e-07,2042982.7141225622,OK
EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,corporate_bond,EO_ATL_2025_2,0.0320347547318096,Minimum_Variance,0.0320347547318096,0.0320392732440644,4.518512254803042e-06,10600670.967109442,OK
AMEN_BANK,AMEN BANK,Actions cotées,listed_equity,AMEN_BANK,0.0212848204226004,Minimum_Variance,0.0212848204226004,0.02128481390039393,-6.522206469350422e-09,7042397.842030773,OK
ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,listed_equity,ATTIJARI_BANK,0.0162689936442442,Minimum_Variance,0.0162689936442442,0.01626842213958029,-5.715046639091781e-07,5382649.879165986,OK
BIAT,BIAT,Actions cotées,listed_equity,BIAT,0.0067096872285262,Minimum_Variance,0.0067096872285262,0.006709700508543297,1.3280017096412022e-08,2220004.3938915324,OK
BT,BT,Actions cotées,listed_equity,BT,0.0001354026972243,Minimum_Variance,0.0001354026972243,0.00013540924916267638,6.551938376363848e-09,44802.16780643736,OK
CITY_CARS,CITY CARS,Actions cotées,listed_equity,CITY_CARS,0.0010673900405549,Minimum_Variance,0.0010673900405549,0.001067454954390189,6.491383528904777e-08,353183.37770965404,OK
DELICE_HOLDING,DELICE HOLDING,Actions cotées,listed_equity,DELICE_HOLDING,0.004255307214908,Minimum_Variance,0.004255307214908,0.004255303407244054,-3.807663946295281e-09,1407930.540177619,OK
ENNAKL,ENNAKL,Actions cotées,listed_equity,ENNAKL,0.0272014357982988,Minimum_Variance,0.0272014357982988,0.026276747244038275,-0.0009246885542605263,8694053.373122439,OK
PGH,PGH,Actions cotées,listed_equity,PGH,0.0448589559037577,Minimum_Variance,0.0448589559037577,0.012551959864676911,-0.032306996039080785,4153002.956846222,OK
BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,government_bond,BTA_7_4_02_2030,0.0981089183612434,Mean_Variance_lambda_2,0.0981089183612434,0.09810889772059486,-2.0640648537573192e-08,32460790.722663905,OK
BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,government_bond,BTA_7_5_12_2028,0.06829597420544,Mean_Variance_lambda_2,0.06829597420544,0.06829592276459251,-5.1440847484429675e-08,22596723.71802908,OK
EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,government_bond,EMPRUNT_NATIONAL_2021_2EME_TRANCHE,0.0874174259055424,Mean_Variance_lambda_2,0.0874174259055424,0.08741723354287227,-1.9236267012612274e-07,28923294.31394418,OK
EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,government_bond,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,0.0438495478974024,Mean_Variance_lambda_2,0.0438495478974024,0.04384952094458468,-2.6952817720748978e-08,14508267.402258616,OK
EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,government_bond,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,0.0496837556199316,Mean_Variance_lambda_2,0.0496837556199316,0.049683741152396925,-1.4467534677209404e-08,16438606.093200559,OK
TN0007310568,E.O HL 2020-03,Obligations corporate,corporate_bond,TN0007310568,0.0099706592583008,Mean_Variance_lambda_2,0.0099706592583008,0.009970657554507998,-1.7037928030233518e-09,3298940.6237747464,OK
TN0003100872,EO BNA SUB 2021-1,Obligations corporate,corporate_bond,TN0003100872,0.0190339210105056,Mean_Variance_lambda_2,0.0190339210105056,0.019033918475133003,-2.5353725958965345e-09,6297655.550194192,OK
TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,corporate_bond,TNHFN9X6ARP3,0.0286634369917476,Mean_Variance_lambda_2,0.0286634369917476,0.028663436022069184,-9.696784174229034e-10,9483724.919167425,OK
TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,corporate_bond,TN8DSPQCBC06,0.0084347887863857,Mean_Variance_lambda_2,0.0084347887863857,0.008434787497360048,-1.2890256518433008e-09,2790775.1295066373,OK
TNL7VQZVHR54,EO HL 2023-1,Obligations corporate,corporate_bond,TNL7VQZVHR54,0.4167675090979856,Mean_Variance_lambda_2,0.4167675090979856,0.2999999983698189,-0.11676751072816671,99259469.73347728,OK
TNYGOCQ2WZX6,EO BH LEASING 2023-1,Obligations corporate,corporate_bond,TNYGOCQ2WZX6,0.0097829647118884,Mean_Variance_lambda_2,0.0097829647118884,0.009782963510743948,-1.2011444529974602e-09,3236839.2525834525,OK
TNDE9EH7SA12,EO AB SUB 2023-2,Obligations corporate,corporate_bond,TNDE9EH7SA12,0.0061743504717015,Mean_Variance_lambda_2,0.0061743504717015,0.006174348965678824,-1.5060226763591311e-09,2042875.358709936,OK
EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,corporate_bond,EO_ATL_2025_2,0.0320347547318096,Mean_Variance_lambda_2,0.0320347547318096,0.03203475398917658,-7.426330175808182e-10,10599175.704288797,OK
AMEN_BANK,AMEN BANK,Actions cotées,listed_equity,AMEN_BANK,0.0212848204226004,Mean_Variance_lambda_2,0.0212848204226004,0.02128482342366717,3.0010667700919313e-09,7042400.99294763,OK
ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,listed_equity,ATTIJARI_BANK,0.0162689936442442,Mean_Variance_lambda_2,0.0162689936442442,0.01626909136117768,9.771693348231691e-08,5382871.301103493,OK
BIAT,BIAT,Actions cotées,listed_equity,BIAT,0.0067096872285262,Mean_Variance_lambda_2,0.0067096872285262,0.006709690749864259,3.5213380588164367e-09,2220001.1650871597,OK
BT,BT,Actions cotées,listed_equity,BT,0.0001354026972243,Mean_Variance_lambda_2,0.0001354026972243,0.07893373980777171,0.07879833711054741,26116403.999913853,OK
CITY_CARS,CITY CARS,Actions cotées,listed_equity,CITY_CARS,0.0010673900405549,Mean_Variance_lambda_2,0.0010673900405549,0.024115838588536158,0.023048448547981257,7979084.544945271,OK
DELICE_HOLDING,DELICE HOLDING,Actions cotées,listed_equity,DELICE_HOLDING,0.004255307214908,Mean_Variance_lambda_2,0.004255307214908,0.05240840230643677,0.04815309509152877,17340100.83594389,OK
ENNAKL,ENNAKL,Actions cotées,listed_equity,ENNAKL,0.0272014357982988,Mean_Variance_lambda_2,0.0272014357982988,0.0,-0.0272014357982988,0.0,OK
PGH,PGH,Actions cotées,listed_equity,PGH,0.0448589559037577,Mean_Variance_lambda_2,0.0448589559037577,0.03882823325301651,-0.006030722650741192,12846899.547749871,OK
BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,government_bond,BTA_7_4_02_2030,0.0981089183612434,Mean_Variance_lambda_5,0.0981089183612434,0.09810891809013701,-2.7110638733951475e-10,32460797.46223045,OK
BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,government_bond,BTA_7_5_12_2028,0.06829597420544,Mean_Variance_lambda_5,0.06829597420544,0.06829597390596981,-2.9947018476139675e-10,22596740.638915814,OK
EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,government_bond,EMPRUNT_NATIONAL_2021_2EME_TRANCHE,0.0874174259055424,Mean_Variance_lambda_5,0.0874174259055424,0.08741742556678017,-3.3876222660378374e-10,28923357.847915437,OK
