portfolio_name,expected_return_APT,volatility_APT,variance_APT,sharpe_ratio,var_95_historical,cvar_95_historical,downside_deviation,max_drawdown,skewness,kurtosis,turnover,herfindahl_index,equity_weight,state_weight,corporate_weight,active_constraints_count,number_of_regulatory_breaches,optimization_status,VaR_95_historical,CVaR_95_historical,HHI_concentration,sovereign_bond_weight,warning_flags,regulatory_status,normalized_return,normalized_volatility,normalized_cvar,normalized_CVaR,normalized_turnover,normalized_concentration,score_return,score_risk,score_cvar,score_turnover,score_concentration,score_compliance,final_score,score_total,score_method,rank,model_selected_as_recommendation
Mean_CVaR_95,0.10908140836535977,0.013718193157095217,0.00018818882349537402,2.3817775718681116,0.00021353283550589396,0.0005027289888268357,0.002390412068037023,-0.0016459498196537137,0.7771705866362344,1.632244498808852,0.2999999876666527,0.13399426233846218,0.11265227080631186,0.34735563003819886,0.5399920991554893,1,0,optimal,0.00021353283550589396,0.0005027289888268357,0.13399426233846218,0.34735563003819886,OK,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.3472135751163192,0.8132602277128878,1.0,1.0,4.111115747829075e-08,0.8188181127316347,0.10416407253489575,0.20331505692822194,0.2,6.166673621743612e-09,0.08188181127316348,1.0,0.5893609469029548,0.5893609469029548,SCORING_MULTICRITERE_NORMALISE_AIDE_DECISION,1,True
Frontier_candidate_17,0.10970210315048348,0.013921260502996694,0.00019380149399229576,2.3916210436605754,0.0003012808922878625,0.0007728553315588995,0.003501192015069658,-0.0016265775766736157,0.2899910736546452,1.5859079263862235,0.2999999575960336,0.1392429451979919,0.13335504328421088,0.3473556435232494,0.5192893131925398,1,0,FRONTIER_CANDIDATE,,,,,,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.4201984903733385,0.8055181602853625,0.8594291384098796,0.8594291384098796,1.4134655446085276e-07,0.7591875737539295,0.12605954711200154,0.20137954007134062,0.1718858276819759,2.1201983169127914e-08,0.07591875737539296,1.0,0.5752436934426942,0.5752436934426942,SCORING_MULTICRITERE_NORMALISE_AIDE_DECISION,2,False
Frontier_candidate_16,0.10942816541099668,0.013142586045148048,0.00017272756795412022,2.5124767469908487,0.0002889659505746781,0.0007379709730692814,0.003416637558634055,-0.0016129369836809238,0.3045517004661678,1.8615938958955276,0.29999997072619683,0.14059744933157037,0.12765893875307704,0.3473556359888583,0.5249854252580646,1,0,FRONTIER_CANDIDATE,,,,,,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.38798729224290907,0.8352056027936268,0.8775825857164543,0.8775825857164543,9.757934371634747e-08,0.7437989869990327,0.11639618767287271,0.2088014006984067,0.17551651714329086,1.463690155745212e-08,0.07437989869990327,1.0,0.5750940188513751,0.5750940188513751,SCORING_MULTICRITERE_NORMALISE_AIDE_DECISION,3,False
Frontier_candidate_18,0.10997604097120132,0.014726678290174825,0.0002168750534623065,2.279422197764805,0.00031654954375486265,0.0008100075580479727,0.003609081221887774,-0.0016404026695090446,0.2786137341056511,1.3364092167385486,0.2999998958054481,0.13798278088151536,0.1390570710317318,0.3473556786512909,0.5135872503169773,1,0,FRONTIER_CANDIDATE,,,,,,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.4524096980553872,0.7748111119020806,0.8400955168358427,0.8400955168358427,3.4731517273289825e-07,0.7735043612991197,0.13572290941661616,0.19370277797552016,0.16801910336716855,5.209727590993474e-08,0.07735043612991198,1.0,0.5747952789864927,0.5747952789864927,SCORING_MULTICRITERE_NORMALISE_AIDE_DECISION,4,False
Frontier_candidate_19,0.11024997889832279,0.015554721757090084,0.00024194936894049164,2.1756901762425405,0.0003417448855879636,0.0008509872862537017,0.0037401082535068746,-0.0016575149801548728,0.2701618276764795,1.1199488023368964,0.29999973280342634,0.13679178443092832,0.1448637126443118,0.34735575411545366,0.5077805332402344,1,0,FRONTIER_CANDIDATE,,,,,,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.4846209182489948,0.7432414455664105,0.8187701042776083,0.8187701042776083,8.906552453336047e-07,0.7870353293857306,0.14538627547469843,0.18581036139160262,0.16375402085552168,1.335982868000407e-07,0.07870353293857307,1.0,0.5736543242586827,0.5736543242586827,SCORING_MULTICRITERE_NORMALISE_AIDE_DECISION,5,False
Frontier_candidate_15,0.10915422767308196,0.012395674794634697,0.00015365275361434194,2.6417685715682104,0.00030070459076261894,0.0007161117388374718,0.003356708700435373,-0.0015993060152933447,0.32166112480527315,2.1525575495918154,0.2999999837275055,0.14204779732764433,0.12196314150577439,0.347355629671167,0.5306812288230587,1,0,FRONTIER_CANDIDATE,,,,,,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.35577609429733514,0.8636820534912056,0.8889578975745561,0.8889578975745561,5.424164806200338e-08,0.7273215135022106,0.10673282828920054,0.2159205133728014,0.17779157951491123,8.136247209300506e-09,0.07273215135022107,1.0,0.5731770806633815,0.5731770806633815,SCORING_MULTICRITERE_NORMALISE_AIDE_DECISION,6,False
Mean_Variance_lambda_20,0.11043364871687333,0.01612056567047702,0.0002598726375361623,2.110715333144429,0.00035481378274738047,0.0008806518122639767,0.003841421924020028,-0.0016739069549266405,0.26582506143699336,0.9951056869716179,0.29999995925021716,0.136009278870197,0.14891308633788658,0.3473556375035039,0.5037312761586095,1,0,optimal,0.00035481378274738047,0.0008806518122639767,0.136009278870197,0.3473556375035039,OK,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.5062178874252573,0.7216682984341192,0.8033330020026072,0.8033330020026072,1.3583260927152452e-07,0.7959254127815563,0.15186536622757718,0.1804170746085298,0.16066660040052144,2.0374891390728676e-08,0.07959254127815563,1.0,0.5725416028896755,0.5725416028896755,SCORING_MULTICRITERE_NORMALISE_AIDE_DECISION,7,False
Frontier_candidate_20,0.11043364912668434,0.016120611662875255,0.00025987412038522967,2.1107093366567535,0.00035592957251664943,0.0008811998061165894,0.003842745725104119,-0.0016765501562001628,0.26543260736644075,0.9954112553206649,0.29999968915583175,0.13598829942747073,0.14899736610754222,0.3473557570944368,0.503646876798021,1,0,FRONTIER_CANDIDATE,,,,,,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.5062179356132269,0.7216665449456561,0.803047831858782,0.803047831858782,1.036147227240214e-06,0.7961637612416749,0.15186538068396807,0.18041663623641402,0.1606095663717564,1.554220840860321e-07,0.0796163761241675,1.0,0.57250811483839,0.57250811483839,SCORING_MULTICRITERE_NORMALISE_AIDE_DECISION,8,False
Frontier_candidate_14,0.10908140838460903,0.012203218243094767,0.00014891853548860092,2.6774645963462764,0.0003008133052838706,0.0007115007652428543,0.003345376459224807,-0.0015956828110742505,0.32650343576487634,2.230626176709224,0.29999998816829926,0.14244947314470455,0.12044906717466987,0.3473556276048466,0.5321953052204834,1,0,FRONTIER_CANDIDATE,,,,,,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.3472135773797589,0.8710195778591759,0.8913573989501313,0.8913573989501313,3.943900228620123e-08,0.7227580551819728,0.10416407321392766,0.21775489446479399,0.17827147979002628,5.915850342930184e-09,0.07227580551819728,1.0,0.5724662589027956,0.5724662589027956,SCORING_MULTICRITERE_NORMALISE_AIDE_DECISION,9,False
Frontier_candidate_13,0.10906001548782983,0.012147203772933582,0.00014755455950117184,2.688050066579926,0.0003008452414742749,0.000710146152681059,0.003342420131276038,-0.001594618392390168,0.32794135360533855,2.2535173000374193,0.29999998947532525,0.14256876595202464,0.12000426173958251,0.3473556269968768,0.5326401112635407,1,0,FRONTIER_CANDIDATE,,,,,,COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.34469807572588085,0.873155163977071,0.8920623248489031,0.8920623248489031,3.5082248994733334e-08,0.7214027638475488,0.10340942271776425,0.21828879099426776,0.17841246496978064,5.26233734921e-09,0.07214027638475488,1.0,0.5722509603289048,0.5722509603289048,SCORING_MULTICRITERE_NORMALISE_AIDE_DECISION,10,False
