turnover_limit,model_name,expected_return_APT,volatility_APT,sharpe_APT,VaR_95_period_loss,CVaR_95_period_loss,turnover_realized,solver_status,final_status,feasibility_status,turnover_constraint_respected,comment,top_5_assets_by_weight,regulatory_status,herfindahl_index,cvar_95_historical,turnover
0.4,Minimum_Variance,0.10696275768892183,0.003980123101483126,7.676906802279614,0.0,0.00014527567376143176,0.39999701338621135,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,True,Solution optimise respectant la limite de turnover.,"EO HL 2023-1: 30.0%; EO BNA SUB 2021-1: 20.9%; BTA 7,4% 02/2030: 9.8%; EMPRUNT NATIONAL 2021 2ème tranche: 8.7%; BTA 7,5% 12/2028: 6.8%",COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.16281544518656943,0.00014527567376143176,0.39999701338621135
0.4,Max_Sharpe,0.10717014662420622,0.0039944248666964905,7.701339760687973,0.0,0.0001618968461830316,0.3999999860917639,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,True,Solution optimise respectant la limite de turnover.,"EO HL 2023-1: 30.0%; EO BNA SUB 2021-1: 12.4%; E.O HL 2020-03: 10.5%; BTA 7,4% 02/2030: 9.8%; EMPRUNT NATIONAL 2021 2ème tranche: 8.7%",COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.14502887706004813,0.0001618968461830316,0.3999999860917639
0.4,Mean_CVaR_95,0.10879711845313382,0.006953812363277973,4.657789595667193,0.0,0.0001304639304100209,0.3999999973599408,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,True,Solution optimise respectant la limite de turnover.,"EO HL 2023-1: 30.0%; EO ADVANS 2022-1: 15.0%; BTA 7,4% 02/2030: 9.8%; EMPRUNT NATIONAL 2021 2ème tranche: 8.7%; EO AB SUB 2023-2: 6.9%",COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.14578350012063615,0.0001304639304100209,0.3999999973599408
0.4,Risk_Parity,0.10709752534608909,0.004769587000077956,6.4344778213190565,0.0,0.00019116016684088313,0.40000000000000013,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,True,Solution optimise respectant la limite de turnover.,"EO HL 2023-1: 30.0%; EMPRUNT NATIONAL 2021 2ème tranche: 11.0%; BTA 7,4% 02/2030: 9.8%; EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C: 8.0%; BTA 7,5% 12/2028: 7.1%",COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.1362834322195049,0.00019116016684088313,0.40000000000000013
0.4,Recommended_Scoring,0.10879711845313382,0.006953812363277973,4.657789595667193,0.0,0.0001304639304100209,0.3999999973599408,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,True,Portefeuille retenu par scoring parmi les solutions disponibles.,Voir modèle source: Mean_CVaR_95,,,,
0.5,Minimum_Variance,0.10686018717074638,0.002783649347329531,10.939762805514603,0.0,0.0,0.49999016775824845,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,True,Solution optimise respectant la limite de turnover.,"EO HL 2023-1: 30.0%; EO BNA SUB 2021-1: 26.3%; BTA 7,4% 02/2030: 9.0%; EMPRUNT NATIONAL 2021 2ème tranche: 8.7%; BTA 7,5% 12/2028: 6.8%",COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.185515661963692,0.0,0.49999016775824845
0.5,Max_Sharpe,0.1069618582395593,0.002788344871461728,10.957803310142975,0.0,0.0,0.49999999970925063,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,True,Solution optimise respectant la limite de turnover.,"EO HL 2023-1: 30.0%; EO BNA SUB 2021-1: 21.9%; BTA 7,4% 02/2030: 9.0%; EMPRUNT NATIONAL 2021 2ème tranche: 8.7%; BTA 7,5% 12/2028: 6.8%",COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.16796376400883942,0.0,0.49999999970925063
0.5,Mean_CVaR_95,0.10832168817635734,0.003988588388624004,8.001318133037875,0.0,0.0,0.4999999861057776,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,True,Solution optimise respectant la limite de turnover.,"EO HL 2023-1: 30.0%; EO ADVANS 2022-1: 19.8%; BTA 7,4% 02/2030: 9.8%; EMPRUNT NATIONAL 2021 2ème tranche: 8.7%; EO AB SUB 2023-2: 7.2%",COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.16048806064301543,0.0,0.4999999861057776
0.5,Risk_Parity,0.10744495184627653,0.004398049287827203,7.057044211610978,0.0,0.00013678416781447218,0.5,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,True,Solution optimise respectant la limite de turnover.,"EO HL 2023-1: 25.6%; BTA 7,4% 02/2030: 9.7%; EMPRUNT NATIONAL 2021 2ème tranche: 9.4%; EO ATL 2022-1: 9.3%; BTA 7,5% 12/2028: 7.7%",COMPLIANT_WITH_UNTESTED_CONSTRAINTS,0.11397861969184586,0.00013678416781447218,0.5
0.5,Recommended_Scoring,0.10686018717074638,0.002783649347329531,10.939762805514603,0.0,0.0,0.49999016775824845,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,OPTIMIZED_FEASIBLE,True,Portefeuille retenu par scoring parmi les solutions disponibles.,Voir modèle source: Minimum_Variance,,,,
