portfolio_name,asset_id,asset_name,asset_class,asset_type,weight,marginal_risk_contribution,risk_contribution,risk_contribution_pct
Minimum_Variance,EO_ATL_2025_2,EO ATL 2025-2,Obligations corporate,corporate_bond,0.0320392732440644,0.0001528753223036718,4.898014223561754e-06,0.000555316902404702
Minimum_Variance,AMEN_BANK,AMEN BANK,Actions cotées,listed_equity,0.02128481390039393,0.07106916993024265,0.001512694056020687,0.1715030906677443
Minimum_Variance,ATTIJARI_BANK,ATTIJARI BANK,Actions cotées,listed_equity,0.01626842213958029,0.11517496330099071,0.0018737149228911845,0.21243416606756185
Minimum_Variance,BIAT,BIAT,Actions cotées,listed_equity,0.006709700508543297,0.03957400351971602,0.00026552971154133277,0.03010467715676038
Minimum_Variance,BT,BT,Actions cotées,listed_equity,0.00013540924916267638,0.05432482739222382,7.356084088073022e-06,0.0008340028515978287
Minimum_Variance,CITY_CARS,CITY CARS,Actions cotées,listed_equity,0.001067454954390189,0.016268132729124894,1.7365498880381555e-05,0.0019688295310733746
Minimum_Variance,DELICE_HOLDING,DELICE HOLDING,Actions cotées,listed_equity,0.004255303407244054,0.06817513164784245,0.0002901058699903759,0.032891021899754104
Minimum_Variance,ENNAKL,ENNAKL,Actions cotées,listed_equity,0.026276747244038275,0.12050670417617439,0.003166524206849426,0.3590076168987587
Minimum_Variance,PGH,PGH,Actions cotées,listed_equity,0.012551959864676911,0.12050768947432937,0.0015126076816667305,0.17149329789530693
Mean_Variance_lambda_2,BTA_7_4_02_2030,"BTA 7,4% 02/2030",Titres de l'État,government_bond,0.09810889772059486,0.0001630986360903666,1.60014274065583e-05,0.0005170456924286869
Mean_Variance_lambda_2,BTA_7_5_12_2028,"BTA 7,5% 12/2028",Titres de l'État,government_bond,0.06829592276459251,0.00045898786576758723,3.134699983034829e-05,0.0010128990883776696
Mean_Variance_lambda_2,EMPRUNT_NATIONAL_2021_2EME_TRANCHE,EMPRUNT NATIONAL 2021 2ème tranche,Titres de l'État,government_bond,0.08741723354287227,-2.0729797798992763e-05,-1.81214157549107e-06,-5.8554775887966847e-05
Mean_Variance_lambda_2,EMPRUNT_NATIONAL_2022_3EME_TRANCHE_10_ANS,EMPRUNT NATIONAL 2022 3ème tranche 10 ANS,Titres de l'État,government_bond,0.04384952094458468,-1.614679711476533e-05,-7.080293182718617e-07,-2.2878178291496913e-05
Mean_Variance_lambda_2,EMPRUNT_NATIONAL_2023_4EME_TRANCHE_CATEGORIE_C,EMPRUNT NATIONAL 2023 4ème tranche  Catégorie C,Titres de l'État,government_bond,0.049683741152396925,-0.00031493918010110073,-1.5647356702891204e-05,-0.0005056047923455335
Mean_Variance_lambda_2,TN0007310568,E.O HL 2020-03,Obligations corporate,corporate_bond,0.009970657554507998,-0.0002707779199149006,-2.699833912793465e-06,-8.723831064662475e-05
Mean_Variance_lambda_2,TN0003100872,EO BNA SUB 2021-1,Obligations corporate,corporate_bond,0.019033918475133003,-0.00031161412815811524,-5.931237911061213e-06,-0.0001916529653740144
Mean_Variance_lambda_2,TNHFN9X6ARP3,EO ADVANS 2022-1,Obligations corporate,corporate_bond,0.028663436022069184,-0.00025799699993399555,-7.3950805014938685e-06,-0.00023895333968103685
Mean_Variance_lambda_2,TN8DSPQCBC06,EO ATL 2022-1,Obligations corporate,corporate_bond,0.008434787497360048,0.00010903814097688409,9.197135482472043e-07,2.9718219275526585e-05
