requested_date,portfolio_name,total_portfolio_value_estimated,government_bond_exposure,equity_exposure,corporate_bond_exposure,regulatory_status,worst_margin_constraint,worst_margin_value
2025-09-05,Current_Portfolio,551033135.6666799,123245323.21821837,60787959.108965896,188832172.20874053,OK,STATE_MIN_20_PT,71012514.35110436
2025-09-08,Current_Portfolio,551605621.0114398,123338038.13867399,61117076.7550236,188982824.98698714,OK,STATE_MIN_20_PT,71105229.27155998
2025-09-09,Current_Portfolio,551759194.7590754,123326510.12636751,61295219.75553276,188969783.74641994,OK,STATE_MIN_20_PT,71093701.2592535
2025-09-10,Current_Portfolio,551715862.375154,123453791.26792423,61014473.36313472,189079916.61333987,OK,STATE_MIN_20_PT,71220982.40081023
2025-09-11,Current_Portfolio,551802021.4048858,123477159.18472591,61042627.29652454,189114553.79288018,OK,STATE_MIN_20_PT,71244350.3176119
2025-09-12,Current_Portfolio,552164280.7263107,123508172.43569118,61230561.01480864,189257866.1450558,OK,STATE_MIN_20_PT,71275363.56857717
2025-09-15,Current_Portfolio,552634831.5673883,123557905.48086965,61524356.06148743,189384888.8942761,OK,STATE_MIN_20_PT,71325096.61375564
2025-09-16,Current_Portfolio,553255750.2988789,123630776.28171438,61961973.12227475,189495319.7641346,OK,STATE_MIN_20_PT,71397967.41460037
2025-09-17,Current_Portfolio,553716872.1379125,123665485.2995374,62318998.5918094,189564707.1158107,OK,STATE_MIN_20_PT,71432676.4324234
2025-09-18,Current_Portfolio,553823895.6038303,123695509.92162941,62347732.01408483,189612972.53736088,OK,STATE_MIN_20_PT,71462701.0545154
2025-09-19,Current_Portfolio,553507425.4988964,123725833.92348313,61953096.029220216,189660814.415438,OK,STATE_MIN_20_PT,71493025.05636913
2025-09-22,Current_Portfolio,553743757.2128503,123820050.29301439,61946278.672662005,189809747.11641878,OK,STATE_MIN_20_PT,71587241.42590038
2025-09-23,Current_Portfolio,553861344.3436906,123851420.33721098,61982529.53599922,189859713.33972535,OK,STATE_MIN_20_PT,71618611.47009698
2025-09-24,Current_Portfolio,553830352.6452967,123882790.93777823,61870205.14605981,189909675.43070352,OK,STATE_MIN_20_PT,71649982.07066423
2025-09-25,Current_Portfolio,553528246.9355869,123914162.08985637,61486770.33698201,189959633.3779934,OK,STATE_MIN_20_PT,71681353.22274236
2025-09-26,Current_Portfolio,553260770.6502731,123945533.7878229,61138827.70304535,190008728.0286498,OK,STATE_MIN_20_PT,71712724.9207089
2025-09-29,Current_Portfolio,552998032.0519246,124039652.10120915,60632127.518647045,190158571.30131328,OK,STATE_MIN_20_PT,71806843.23409514
2025-09-30,Current_Portfolio,553018459.0524838,124071025.92846718,60571241.32094523,190208510.67231634,OK,STATE_MIN_20_PT,71838217.06135318
2025-10-01,Current_Portfolio,553101608.5362991,124102400.27445814,60573081.300586745,190258445.83049914,OK,STATE_MIN_20_PT,71869591.40734413
2025-10-02,Current_Portfolio,552806297.0293949,124133775.13397108,60196464.00081633,190308376.76385224,OK,STATE_MIN_20_PT,71900966.26685707
2025-10-03,Current_Portfolio,552681102.4186702,124157043.51055351,60017142.17263563,190339235.6047259,OK,STATE_MIN_20_PT,71924234.6434395
2025-10-06,Current_Portfolio,553347075.4725103,124562111.80628926,59899874.4360501,190717408.09941596,OK,STATE_MIN_20_PT,72329302.93917525
2025-10-07,Current_Portfolio,553118173.9411138,124593250.33856243,59590571.32081798,190766671.15097833,OK,STATE_MIN_20_PT,72360441.47144842
2025-10-08,Current_Portfolio,553423719.2351928,124624389.74072225,59815496.89950852,190816151.46420687,OK,STATE_MIN_20_PT,72391580.87360825
