model_name,train_start,train_end,test_start,test_end,train_observations,test_observations,RETURN_FREQUENCY,PERIODS_PER_YEAR,BACKTEST_DATA_FREQUENCY,BACKTEST_PERIODS_PER_YEAR,test_return,test_volatility,test_sharpe,test_cvar_loss_95,test_max_drawdown,status,comment
Minimum_Variance,2025-01-03,2025-08-08,2025-08-11,2025-12-31,147,99,daily,252,daily,252,0.05048370143279968,0.007307461935873751,17.163700215114222,0.0003519974099841097,-0.000796594152562724,RUN_TRAIN_REOPTIMIZED_TESTED_OUT_OF_SAMPLE,Reoptimisation limitee sur train puis test statique hors echantillon ; historique court.
Max_Sharpe,2025-01-03,2025-08-08,2025-08-11,2025-12-31,147,99,daily,252,daily,252,0.05337698071731789,0.00861698745115973,15.369422509852223,0.0004723961383413291,-0.0009068538397504211,RUN_TRAIN_REOPTIMIZED_TESTED_OUT_OF_SAMPLE,Reoptimisation limitee sur train puis test statique hors echantillon ; historique court.
Mean_CVaR_95,2025-01-03,2025-08-08,2025-08-11,2025-12-31,147,99,daily,252,daily,252,0.06076401916900709,0.022679437198201258,6.633934208375565,0.002200763293705587,-0.00666683204851326,RUN_TRAIN_REOPTIMIZED_TESTED_OUT_OF_SAMPLE,Reoptimisation limitee sur train puis test statique hors echantillon ; historique court.
